Timestamp,Forecast_Power_Load
2018-08-03 01:00:00,5146.448074340819
2018-08-03 02:00:00,4806.197505950927
2018-08-03 03:00:00,4559.306216478348
2018-08-03 04:00:00,4484.851658940315
2018-08-03 05:00:00,4457.906646311283
2018-08-03 06:00:00,4469.0464079380035
2018-08-03 07:00:00,4612.46638572216
2018-08-03 08:00:00,4851.806111574172
2018-08-03 09:00:00,5077.187127828597
2018-08-03 10:00:00,5310.965612530707
2018-08-03 11:00:00,5510.003121614455
2018-08-03 12:00:00,5692.779148578643
2018-08-03 13:00:00,5835.910142064094
2018-08-03 14:00:00,5926.781482338904
2018-08-03 15:00:00,6009.897320270537
2018-08-03 16:00:00,6081.3529546260825
2018-08-03 17:00:00,6084.307932853698
2018-08-03 18:00:00,6048.5657517909995
2018-08-03 19:00:00,5959.864069223403
2018-08-03 20:00:00,5788.70600748062
2018-08-03 21:00:00,5507.914527416228
2018-08-03 22:00:00,5198.096338033675
2018-08-03 23:00:00,4885.696631431579
2018-08-04 00:00:00,4575.434299349785
2018-08-04 01:00:00,4311.085556566715
2018-08-04 02:00:00,4166.201564699411
2018-08-04 03:00:00,4076.8068602383137
2018-08-04 04:00:00,4009.3609185814857
2018-08-04 05:00:00,3997.0198881924152
2018-08-04 06:00:00,4095.3693016171455
2018-08-04 07:00:00,4237.4553935825825
2018-08-04 08:00:00,4411.869684040546
2018-08-04 09:00:00,4645.81079351902
2018-08-04 10:00:00,4842.5862040519705
2018-08-04 11:00:00,4994.814940929412
2018-08-04 12:00:00,5146.38208580017
2018-08-04 13:00:00,5279.899231553077
2018-08-04 14:00:00,5395.746523380279
2018-08-04 15:00:00,5498.69305551052
2018-08-04 16:00:00,5578.563366532325
2018-08-04 17:00:00,5615.8431943655005
2018-08-04 18:00:00,5570.736898064612
2018-08-04 19:00:00,5423.645312190055
2018-08-04 20:00:00,5196.530674576758
2018-08-04 21:00:00,4906.288042664527
2018-08-04 22:00:00,4599.162939488888
2018-08-04 23:00:00,4297.646222293377
2018-08-05 00:00:00,4061.3476935327053
2018-08-05 01:00:00,3917.8539230674505
2018-08-05 02:00:00,3786.467423208058
2018-08-05 03:00:00,3741.2948539331555
2018-08-05 04:00:00,3734.90880491212
2018-08-05 05:00:00,3789.135417059064
2018-08-05 06:00:00,3848.954793572426
2018-08-05 07:00:00,4003.2192200422287
2018-08-05 08:00:00,4228.570406347513
2018-08-05 09:00:00,4426.989877283573
2018-08-05 10:00:00,4568.7112901210785
2018-08-05 11:00:00,4750.591209769249
2018-08-05 12:00:00,4895.458811163901
2018-08-05 13:00:00,5033.958233952521
2018-08-05 14:00:00,5179.216077923774
2018-08-05 15:00:00,5324.9782222509375
2018-08-05 16:00:00,5399.522945165633
2018-08-05 17:00:00,5401.727730393409
2018-08-05 18:00:00,5313.7691299915305
2018-08-05 19:00:00,5139.384456157683
2018-08-05 20:00:00,4847.321024060248
2018-08-05 21:00:00,4514.224523663521
2018-08-05 22:00:00,4196.517077147961
2018-08-05 23:00:00,3967.3480840027332
2018-08-06 00:00:00,3833.249654226005
2018-08-06 01:00:00,3709.464782703668
2018-08-06 02:00:00,3685.26233907626
2018-08-06 03:00:00,3656.3815237972885
2018-08-06 04:00:00,3689.8680818902794
2018-08-06 05:00:00,3751.9951615668833
2018-08-06 06:00:00,3877.1194920241833
2018-08-06 07:00:00,4068.283814460039
2018-08-06 08:00:00,4296.956258058548
2018-08-06 09:00:00,4443.212534248829
2018-08-06 10:00:00,4645.0374191999435
2018-08-06 11:00:00,4818.277746498584
2018-08-06 12:00:00,4974.1871222257605
2018-08-06 13:00:00,5148.094801306724
2018-08-06 14:00:00,5342.128700852393
2018-08-06 15:00:00,5446.215384125709
2018-08-06 16:00:00,5484.413078427314
2018-08-06 17:00:00,5429.225894808768
2018-08-06 18:00:00,5272.331028580665
2018-08-06 19:00:00,4986.2323063611975
2018-08-06 20:00:00,4659.362123429775
2018-08-06 21:00:00,4300.02963167429
2018-08-06 22:00:00,4027.8610690534115
2018-08-06 23:00:00,3864.5481417179108
2018-08-07 00:00:00,3718.0101898331195
2018-08-07 01:00:00,3671.2360362783074
2018-08-07 02:00:00,3665.166952688247
2018-08-07 03:00:00,3670.562342520803
2018-08-07 04:00:00,3726.031755145639
2018-08-07 05:00:00,3820.124538823962
2018-08-07 06:00:00,3996.1113013625145
2018-08-07 07:00:00,4219.257560223341
2018-08-07 08:00:00,4393.144369006157
2018-08-07 09:00:00,4577.549701392651
2018-08-07 10:00:00,4783.440632402896
2018-08-07 11:00:00,4947.256971240043
2018-08-07 12:00:00,5138.310435771941
2018-08-07 13:00:00,5349.582561612128
2018-08-07 14:00:00,5502.495787382125
2018-08-07 15:00:00,5566.402133584022
2018-08-07 16:00:00,5561.356143474578
2018-08-07 17:00:00,5438.244565725326
2018-08-07 18:00:00,5182.395900726317
2018-08-07 19:00:00,4860.98079419136
2018-08-07 20:00:00,4483.614160478115
2018-08-07 21:00:00,4150.5965903401375
2018-08-07 22:00:00,3946.791604742408
