Model,MAE,RMSE,R2
XGBoost (Tuned),96.97298431396484,125.44691201609946,0.9856157898902893
RNN,898.7936569528446,1065.83201098883,-0.03834794207242043
LSTM,1130.0651978125172,1414.6845523508316,-0.8292986329324712
ARIMA,1181.5979890512365,1473.54923259298,-0.9846991717614686
SARIMA,2805.5145601455797,3066.327309816919,-7.59413970609625
