Timestamp,Forecast_Power_Load
2018-08-03 01:00:00,5324.243388652801
2018-08-03 02:00:00,5073.776629567145
2018-08-03 03:00:00,4875.812145352363
2018-08-03 04:00:00,4748.7222692370415
2018-08-03 05:00:00,4701.542595922947
2018-08-03 06:00:00,4734.054822802544
2018-08-03 07:00:00,4838.653983891009
2018-08-03 08:00:00,5002.530622601508
2018-08-03 09:00:00,5209.966737866401
2018-08-03 10:00:00,5444.843988656997
2018-08-03 11:00:00,5677.744285345077
2018-08-03 12:00:00,5893.640586614608
2018-08-03 13:00:00,6092.04907131195
2018-08-03 14:00:00,6263.494410753249
2018-08-03 15:00:00,6399.975494384765
2018-08-03 16:00:00,6494.873557806014
2018-08-03 17:00:00,6543.476962327956
2018-08-03 18:00:00,6542.943934202193
2018-08-03 19:00:00,6490.48133778572
2018-08-03 20:00:00,6362.78981399536
2018-08-03 21:00:00,6178.489508628844
2018-08-03 22:00:00,5946.445783019065
2018-08-03 23:00:00,5680.916570663451
2018-08-04 00:00:00,5401.3521361351
2018-08-04 01:00:00,5131.249804139136
2018-08-04 02:00:00,4895.387560606002
2018-08-04 03:00:00,4715.819941997528
2018-08-04 04:00:00,4607.996159851551
2018-08-04 05:00:00,4578.622299611568
2018-08-04 06:00:00,4625.566604316235
2018-08-04 07:00:00,4739.597291350365
2018-08-04 08:00:00,4907.026431679725
2018-08-04 09:00:00,5112.307537555694
2018-08-04 10:00:00,5339.978811264037
2018-08-04 11:00:00,5567.050215005874
2018-08-04 12:00:00,5772.766930580138
2018-08-04 13:00:00,5960.136983036994
2018-08-04 14:00:00,6120.550432205199
2018-08-04 15:00:00,6246.836570739745
2018-08-04 16:00:00,6333.257951021194
2018-08-04 17:00:00,6375.660992622375
2018-08-04 18:00:00,6371.805213928222
2018-08-04 19:00:00,6309.618978500365
2018-08-04 20:00:00,6183.046984434127
2018-08-04 21:00:00,6004.393676877021
2018-08-04 22:00:00,5782.662651777267
2018-08-04 23:00:00,5532.075577378272
2018-08-05 00:00:00,5271.708972811698
2018-08-05 01:00:00,5023.870235800742
2018-08-05 02:00:00,4811.231905400752
